1,1,Mount Elbert - NE Ridge,North Elbert,39.15185,-106.41218,North Elbert Trailhead,4.70,4700,1,1
1,2,Mount Elbert - Box Creek Couloirs,South Mt. Elbert,39.09933,-106.36714,South Mt. Elbert,8.50,4150,3,3
2,1,Mt. Massive - East Slopes,Mt. Massive Trailhead Parking Lot,39.15177,-106.41918,Mt. Massive Trailhead,14.5,4500,2,2
2,2,Mt. Massive - Southwest Slopes,Mt. Massive - Southwest Slopes,39.15341,-106.46353,N. Halfmoon Creek,7.25,3950,2,2
5,1,La Plata Peak - Northwest Ridge,La Plata Peak,39.06788,-106.50515,La Plata Peak Trailhead,9.25,4500,2,2
5,2,La Plata Peak - Ellingwood Ridge,La Plata Peak,39.06788,-106.50515,La Plata Peak Trailhead,9.50,5900,3,4
